Ticker,Date,Close
A,2021-02-25,122.0999984741211
AAL,2021-02-25,20.860000610351562
AAP,2021-02-25,160.6699981689453
AAPL,2021-02-25,120.98999786376953
ABBV,2021-02-25,107.33000183105469
ABC,2021-02-25,102.8499984741211
ABMD,2021-02-25,320.4700012207031
ABT,2021-02-25,121.58000183105469
ACN,2021-02-25,253.77999877929688
ADBE,2021-02-25,459.1600036621094
ADI,2021-02-25,153.67999267578125
ADM,2021-02-25,57.349998474121094
ADP,2021-02-25,175.52999877929688
ADSK,2021-02-25,284.0299987792969
AEE,2021-02-25,71.41000366210938
AEP,2021-02-25,76.30000305175781
AES,2021-02-25,26.350000381469727
AFL,2021-02-25,48.650001525878906
AIG,2021-02-25,43.95000076293945
AIZ,2021-02-25,125.16999816894531
AJG,2021-02-25,121.41999816894531
AKAM,2021-02-25,95.48999786376953
ALB,2021-02-25,153.47999572753906
ALGN,2021-02-25,556.1099853515625
ALK,2021-02-25,65.55999755859375
ALL,2021-02-25,108.83000183105469
ALLE,2021-02-25,107.58999633789062
ALXN,2021-02-25,153.64999389648438
AMAT,2021-02-25,113.93000030517578
AMCR,2021-02-25,11.34000015258789
AMD,2021-02-25,82.41999816894531
AME,2021-02-25,120.30000305175781
AMGN,2021-02-25,227.52000427246094
AMP,2021-02-25,223.94000244140625
AMT,2021-02-25,224.75
AMZN,2021-02-25,3057.159912109375
ANET,2021-02-25,280.260009765625
ANSS,2021-02-25,338.4599914550781
ANTM,2021-02-25,300.239990234375
AON,2021-02-25,230.9600067138672
AOS,2021-02-25,60.22999954223633
APA,2021-02-25,20.1299991607666
APD,2021-02-25,260.3800048828125
APH,2021-02-25,125.20999908447266
APTV,2021-02-25,147.44000244140625
ARE,2021-02-25,162.4600067138672
ATO,2021-02-25,88.2300033569336
ATVI,2021-02-25,95.0999984741211
AVB,2021-02-25,180.32000732421875
AVGO,2021-02-25,457.1600036621094
AVY,2021-02-25,178.9199981689453
AWK,2021-02-25,145.63999938964844
AXP,2021-02-25,137.0800018310547
AZO,2021-02-25,1160.5699462890625
BA,2021-02-25,216.4499969482422
BAC,2021-02-25,35.93000030517578
BAX,2021-02-25,78.6500015258789
BBY,2021-02-25,102.94000244140625
BDX,2021-02-25,247.14999389648438
BEN,2021-02-25,26.799999237060547
BIIB,2021-02-25,277.260009765625
BIO,2021-02-25,582.4500122070312
BK,2021-02-25,43.41999816894531
BKNG,2021-02-25,2273.199951171875
BKR,2021-02-25,24.729999542236328
BLK,2021-02-25,694.7899780273438
BLL,2021-02-25,86.26000213623047
BMY,2021-02-25,62.099998474121094
BR,2021-02-25,143.25999450683594
BSX,2021-02-25,39.66999816894531
BWA,2021-02-25,45.11000061035156
BXP,2021-02-25,102.72000122070312
C,2021-02-25,67.41000366210938
CAG,2021-02-25,34.56999969482422
CAH,2021-02-25,52.13999938964844
CARR,2021-02-25,36.13999938964844
CAT,2021-02-25,221.82000732421875
CB,2021-02-25,164.94000244140625
CBOE,2021-02-25,100.0
CBRE,2021-02-25,74.56999969482422
CCI,2021-02-25,159.61000061035156
CCL,2021-02-25,25.469999313354492
CDNS,2021-02-25,138.02000427246094
CDW,2021-02-25,156.88999938964844
CE,2021-02-25,138.80999755859375
CERN,2021-02-25,69.94000244140625
CF,2021-02-25,46.65999984741211
CFG,2021-02-25,44.20000076293945
CHD,2021-02-25,79.38999938964844
CHRW,2021-02-25,90.0
CHTR,2021-02-25,601.5499877929688
CI,2021-02-25,209.33999633789062
CINF,2021-02-25,98.7699966430664
CL,2021-02-25,76.69000244140625
CLX,2021-02-25,181.24000549316406
CMA,2021-02-25,69.58000183105469
CMCSA,2021-02-25,52.2400016784668
CME,2021-02-25,204.8000030517578
CMG,2021-02-25,1410.739990234375
CMI,2021-02-25,255.52999877929688
CMS,2021-02-25,55.060001373291016
CNC,2021-02-25,58.7599983215332
CNP,2021-02-25,19.75
COF,2021-02-25,119.23999786376953
COG,2021-02-25,18.90999984741211
COO,2021-02-25,392.1300048828125
COP,2021-02-25,53.029998779296875
COST,2021-02-25,333.8999938964844
CPB,2021-02-25,45.650001525878906
CPRT,2021-02-25,106.91999816894531
CRM,2021-02-25,231.0800018310547
CSCO,2021-02-25,45.52000045776367
CSX,2021-02-25,92.19000244140625
CTAS,2021-02-25,328.04998779296875
CTLT,2021-02-25,112.25
CTSH,2021-02-25,73.37999725341797
CTVA,2021-02-25,45.36000061035156
CTXS,2021-02-25,138.86000061035156
CVS,2021-02-25,69.33000183105469
CVX,2021-02-25,102.3499984741211
D,2021-02-25,70.62999725341797
DAL,2021-02-25,48.25
DD,2021-02-25,69.75
DE,2021-02-25,348.0299987792969
DG,2021-02-25,188.67999267578125
DGX,2021-02-25,114.62999725341797
DHI,2021-02-25,74.52999877929688
DHR,2021-02-25,219.25999450683594
DIS,2021-02-25,190.97999572753906
DISCK,2021-02-25,43.4900016784668
DISH,2021-02-25,31.549999237060547
DLR,2021-02-25,134.3699951171875
DLTR,2021-02-25,98.87999725341797
DOV,2021-02-25,124.27999877929688
DOW,2021-02-25,61.349998474121094
DPZ,2021-02-25,339.0
DRE,2021-02-25,40.02000045776367
DRI,2021-02-25,136.0
DTE,2021-02-25,121.23999786376953
DUK,2021-02-25,87.12000274658203
DVA,2021-02-25,102.13999938964844
DVN,2021-02-25,21.350000381469727
DXC,2021-02-25,24.889999389648438
DXCM,2021-02-25,395.4700012207031
EA,2021-02-25,135.24000549316406
EBAY,2021-02-25,56.97999954223633
ECL,2021-02-25,211.9600067138672
EFX,2021-02-25,163.5
