Ticker,Date,Close
AAPL,2021-02-25,120.98999786376953
AMGN,2021-02-25,227.52000427246094
AXP,2021-02-25,137.0800018310547
BA,2021-02-25,216.4499969482422
CAT,2021-02-25,221.82000732421875
CRM,2021-02-25,231.0800018310547
CSCO,2021-02-25,45.52000045776367
CVX,2021-02-25,102.3499984741211
DIS,2021-02-25,190.97999572753906
DOW,2021-02-25,61.349998474121094
GS,2021-02-25,327.760009765625
HD,2021-02-25,255.25
HON,2021-02-25,204.7899932861328
IBM,2021-02-25,122.47000122070312
INTC,2021-02-25,60.400001525878906
JNJ,2021-02-25,162.75999450683594
JPM,2021-02-25,151.17999267578125
KO,2021-02-25,50.16999816894531
MCD,2021-02-25,210.9499969482422
MMM,2021-02-25,178.75999450683594
MRK,2021-02-25,74.62000274658203
MSFT,2021-02-25,228.99000549316406
NKE,2021-02-25,135.5399932861328
PG,2021-02-25,126.58000183105469
TRV,2021-02-25,148.0
UNH,2021-02-25,328.8699951171875
V,2021-02-25,213.75
VZ,2021-02-25,56.5
WBA,2021-02-25,48.27000045776367
WMT,2021-02-25,131.9499969482422
